94,5,32,34,40,41,45,6,1659527,71106,63155,1223793,5000
95,8,17,27,31,34,43,14,1348566,82432,56540,1347106,5000
96,1,3,8,21,22,31,20,1800326,65301,66002,1111779,5000
97,6,7,14,15,20,36,3,1454518,77227,58123,1282678,5000
98,6,9,16,23,24,32,43,1126941,87818,48251,1385812,5000
99,1,3,10,27,29,37,11,1372056,77203,56196,1282311,5000
100,1,7,11,23,37,42,6,1431484,76899,57484,1235777,5000
101,1,3,17,32,35,45,8,1605752,73210,61634,1246344,5000
102,17,22,24,26,35,40,42,1616664,75476,57919,1322337,5000
103,5,14,15,27,30,45,10,1424797,75587,59679,1231156,5000
104,17,32,33,34,42,44,35,1704240,71824,61361,1246208,5000
105,8,10,20,34,41,45,28,1711386,69127,65904,1192263,5000
106,4,10,12,22,24,33,29,1051182,93551,46205,1415989,5000
107,1,4,5,6,9,31,17,1020928,91651,48590,1301235,5000
108,7,18,22,23,29,44,12,1595111,70827,65853,1223421,5000
109,1,5,34,36,42,44,33,1670246,73179,68153,1271057,5000
110,7,20,22,23,29,43,1,1640181,73674,61980,1196287,5000
111,7,18,31,33,36,40,27,1268194,86863,50633,1389605,5000
112,26,29,30,33,41,42,43,1715991,70247,66933,1227387,5000
113,4,9,28,33,36,45,26,1583701,72711,64428,1241238,5000
114,11,14,19,26,28,41,2,1584404,78504,60185,1283250,5000
115,1,2,6,9,25,28,31,1122053,91627,48739,1447287,5000
116,2,4,25,31,34,37,17,1343346,91897,50725,1499198,5000
117,5,10,22,34,36,44,35,1423610,78361,59662,1267826,5000
118,3,4,10,17,19,22,38,1294624,83233,51983,1390561,5000
119,3,11,13,14,17,21,38,1142743,85327,51856,1355365,5000
120,4,6,10,11,32,37,30,1359667,80400,54286,1377368,5000
121,12,28,30,34,38,43,9,1698870,67464,67589,1153689,5000
122,1,11,16,17,36,40,8,1550329,72518,59989,1266949,5000
123,7,17,18,28,30,45,27,1429126,72742,58036,1188107,5000
124,4,16,23,25,29,42,1,1359679,75040,55808,1230275,5000
125,2,8,32,33,35,36,18,1417832,74261,55140,1220272,5000
126,7,20,22,27,40,43,1,1427347,71370,57558,1166992,5000
127,3,5,10,29,32,43,35,1537091,67175,58532,1143382,5000
128,12,30,34,36,37,45,39,1731580,63294,65221,1102953,5000
129,19,23,25,28,38,42,17,1361160,71124,56381,1145600,5000
130,7,19,24,27,42,45,31,1590206,63587,63672,1087239,5000
131,8,10,11,14,15,21,37,1176264,73893,52372,1153272,5000
132,3,17,23,34,41,45,43,1408816,65277,59653,1098225,5000
133,4,7,15,18,23,26,13,1319002,76266,50709,1221679,5000
134,3,12,20,23,31,35,43,1366106,69698,56175,1129299,5000
135,6,14,22,28,35,39,16,1406959,66201,60529,1099249,5000
